file,ok,width,height,bands,dtypes,crs,nodata,compression,band,min,max,mean,std,median_s4,P1_s4,P5_s4,P25_s4,P50_s4,P75_s4,P95_s4,P99_s4,nan,posinf,neginf,constant,mask_fg,mask_fg_pct,mask_empty,error
Oil/00000.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-54.12104797363281,-1.9929887056350708,-34.270816802978516,4.846808433532715,-33.28815460205078,-48.582876472473146,-44.58508129119873,-36.596205711364746,-33.28815269470215,-30.87060308456421,-28.093172740936282,-26.482860507965086,0,0,0,False,,,,
Oil/00000.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-38.24626159667969,5.545726299285889,-20.78446388244629,1.5858391523361206,-20.73577117919922,-24.68570732116699,-23.374053955078125,-21.7736496925354,-20.735772132873535,-19.731326580047607,-18.327301597595216,-17.369451198577877,0,0,0,False,,,,
Oil/00001.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-51.42900085449219,3.502218008041382,-34.5694694519043,3.429107189178467,-34.29057312011719,-44.03297885894776,-40.60724792480469,-36.596028327941895,-34.290571212768555,-32.228628158569336,-29.60615978240967,-27.97046686172485,0,0,0,False,,,,
Oil/00001.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-48.02836990356445,13.212607383728027,-22.07428741455078,1.7269940376281738,-21.993757247924805,-27.32359966278076,-24.60939464569092,-22.982674598693848,-21.993757247924805,-21.031461715698242,-19.6949333190918,-18.741457290649414,0,0,0,False,,,,
Oil/00002.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-50.25813674926758,-25.917387008666992,-36.46908950805664,2.773545026779175,-36.27214813232422,-43.9234005355835,-41.37565612792969,-38.19137382507324,-36.272146224975586,-34.5173282623291,-32.28458137512207,-30.92427947998047,0,0,0,False,,,,
Oil/00002.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-36.533912658691406,-14.563878059387207,-20.80209732055664,1.4631811380386353,-20.748910903930664,-24.528467025756836,-23.09192066192627,-21.667234420776367,-20.748910903930664,-19.849526405334473,-18.57095251083374,-17.71007432937622,0,0,0,False,,,,
Oil/00003.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-52.8363151550293,-26.63810920715332,-37.23030090332031,2.992790699005127,-36.996315002441406,-45.24864669799805,-42.58288345336914,-39.081586837768555,-36.99631309509277,-35.111226081848145,-32.71671085357666,-31.27426502227783,0,0,0,False,,,,
Oil/00003.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-38.06644821166992,-13.981441497802734,-21.051372528076172,1.6279892921447754,-20.992788314819336,-25.135593357086183,-23.493420028686522,-21.987003326416016,-20.992788314819336,-20.01089906692505,-18.61476993560791,-17.660386962890623,0,0,0,False,,,,
Oil/00004.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-54.52854919433594,-10.68842887878418,-37.627960205078125,3.149585485458374,-37.38787841796875,-45.97706233978271,-43.287045097351076,-39.58919429779053,-37.38787651062012,-35.3943977355957,-32.87800941467285,-31.373805713653564,0,0,0,False,,,,
Oil/00004.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-39.9082145690918,-0.6875216364860535,-21.44717025756836,1.7150362730026245,-21.35309600830078,-27.351907424926758,-23.82281084060669,-22.31258535385132,-21.35309600830078,-20.410325527191162,-19.072723865509033,-18.147112922668455,0,0,0,False,,,,
Oil/00005.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-55.32816696166992,1.656172752380371,-37.95271301269531,3.6621041297912598,-37.64259338378906,-47.40116497039795,-44.65707721710205,-40.25685977935791,-37.64259147644043,-35.31933307647705,-32.48034114837647,-30.785011329650878,0,0,0,False,,,,
Oil/00005.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-45.860599517822266,9.05048656463623,-22.06764030456543,1.8043639659881592,-21.951814651489258,-28.971152420043946,-24.532136917114258,-22.93227243423462,-21.951814651489258,-20.993441104888916,-19.657463836669923,-18.720023708343504,0,0,0,False,,,,
Oil/00006.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-54.78169250488281,1.656172752380371,-38.00398254394531,3.9381649494171143,-37.65317153930664,-47.846277465820314,-45.317915725708005,-40.51660346984863,-37.65317153930664,-35.16607189178467,-32.10448513031006,-30.305393218994137,0,0,0,False,,,,
Oil/00006.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-48.00086975097656,9.05048656463623,-21.935302734375,2.072348117828369,-21.74433135986328,-31.597534370422363,-24.53530035018921,-22.752890586853027,-21.744332313537598,-20.764695644378662,-19.409479427337647,-18.476247024536132,0,0,0,False,,,,
Oil/00007.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-47.589778900146484,14.835772514343262,-30.080318450927734,2.3635714054107666,-29.95438003540039,-36.2525691986084,-34.10386981964111,-31.569303512573242,-29.95438003540039,-28.446393489837646,-26.497805500030516,-25.278858222961425,0,0,0,False,,,,
Oil/00007.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-29.926971435546875,25.42379379272461,-17.66554832458496,1.4950034618377686,-17.649078369140625,-21.421809959411622,-20.01038475036621,-18.590256690979004,-17.64907932281494,-16.71015501022339,-15.339623117446902,-14.33250482559204,0,0,0,False,,,,
Oil/00008.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-47.589778900146484,-20.847076416015625,-30.155881881713867,2.324045181274414,-30.01378631591797,-36.2603381729126,-34.15624179840088,-31.627511024475098,-30.01378631591797,-28.512407779693604,-26.596243476867677,-25.407563819885254,0,0,0,False,,,,
Oil/00008.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-29.926971435546875,-10.674943923950195,-17.738162994384766,1.4788939952850342,-17.6994571685791,-21.919002418518065,-20.10288429260254,-18.62772846221924,-17.6994571685791,-16.770804405212402,-15.436412000656128,-14.499489517211913,0,0,0,False,,,,
Oil/00009.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-45.20075225830078,2.185065269470215,-31.420427322387695,1.9924702644348145,-31.326255798339844,-36.44726516723633,-34.82527256011963,-32.70190620422363,-31.326255798339844,-30.03083562850952,-28.354523849487308,-27.256597385406494,0,0,0,False,,,,
Oil/00009.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-27.03579330444336,17.24567413330078,-15.822858810424805,1.4370602369308472,-15.83531379699707,-19.156072692871092,-18.103701400756837,-16.76532745361328,-15.835314273834229,-14.878343343734741,-13.4817786693573,-12.484297199249268,0,0,0,False,,,,
Oil/00010.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-44.70975112915039,-23.828590393066406,-31.311298370361328,1.914846420288086,-31.22239875793457,-36.145492210388184,-34.596673583984376,-32.552449226379395,-31.22239875793457,-29.97109842300415,-28.345434570312502,-27.275460186004636,0,0,0,False,,,,
Oil/00010.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-27.03579330444336,-8.5798978805542,-15.470016479492188,1.4249106645584106,-15.456096649169922,-18.93858762741089,-17.81056613922119,-16.398378372192383,-15.456096649169922,-14.517362117767334,-13.1595449924469,-12.219592504501342,0,0,0,False,,,,
Oil/00011.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-47.776363372802734,0.4849978983402252,-33.64861297607422,2.477412223815918,-33.526241302490234,-40.079445419311526,-37.90169410705566,-35.22173023223877,-33.526241302490234,-31.92585277557373,-29.82773208618164,-28.481629085540767,0,0,0,False,,,,
Oil/00011.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-36.578189849853516,9.205252647399902,-21.137313842773438,1.5496411323547363,-21.110252380371094,-25.19022180557251,-23.47366256713867,-22.04836940765381,-21.110252380371094,-20.156272411346436,-18.76837606430054,-17.74361961364746,0,0,0,False,,,,
Oil/00012.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-47.991668701171875,-25.439376831054688,-34.81257629394531,2.4517555236816406,-34.676422119140625,-41.18599723815918,-39.05586738586426,-36.37123775482178,-34.676422119140625,-33.09901428222656,-31.0454520225525,-29.762561759948728,0,0,0,False,,,,
Oil/00012.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-40.66175842285156,-14.531427383422852,-21.677047729492188,1.8588743209838867,-21.55633544921875,-29.104772911071777,-24.326801776885986,-22.565870761871338,-21.55633544921875,-20.55235719680786,-19.10860395431519,-18.085418434143065,0,0,0,False,,,,
Oil/00013.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-101.09986877441406,0.0,-33.67472839355469,7.0285868644714355,-34.36796188354492,-48.008786277770994,-39.66057109832764,-36.205620765686035,-34.36796188354492,-32.63880920410156,-29.797763252258303,0.0,0,0,0,False,,,,
Oil/00013.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-57.55730056762695,0.0,-21.236709594726562,5.228309154510498,-21.426021575927734,-47.82813758850098,-25.094604969024658,-22.506053924560547,-21.426020622253418,-20.351475715637207,-18.35220069885254,0.0,0,0,0,False,,,,
Oil/00014.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-47.92515563964844,-1.6892940998077393,-33.186927795410156,2.6469216346740723,-33.055946350097656,-40.08469928741455,-37.74015312194824,-34.86056995391846,-33.05594825744629,-31.355482578277588,-29.105292034149176,-27.651340503692623,0,0,0,False,,,,
Oil/00014.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-43.25796890258789,12.960002899169922,-25.87651824951172,1.7201563119888306,-25.793733596801758,-30.355768642425538,-28.770168685913085,-26.933738231658936,-25.793733596801758,-24.72063159942627,-23.267661476135256,-22.274025268554684,0,0,0,False,,,,
Oil/00015.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,1,-88.25957489013672,0.0,-27.19953155517578,7.7033209800720215,-28.78936004638672,-35.77393253326416,-33.41474666595459,-30.60170316696167,-28.78936004638672,-26.97855567932129,0.0,0.0,0,0,0,False,,,,
Oil/00015.tif,True,2048,2048,2,float32+float32,EPSG:4326,,lzw,2,-84.37571716308594,0.0,-16.548715591430664,4.915412425994873,-17.393829345703125,-25.808408126831054,-20.945137119293214,-18.684685707092285,-17.39383029937744,-16.082869052886963,0.0,0.0,0,0,0,False,,,,
